,family,scientificName,taxonID
1,Annonaceae,Ephedranthus pisocarpus R.E.Fr.,110367
2,Annonaceae,Unonopsis renatoi Maas & Westra,110548
2,Apocynaceae,Aspidosperma camporum Müll.Arg.,4522
3,Apocynaceae,Aspidosperma dispermum Müll.Arg.,25124
4,Apocynaceae,Aspidosperma illustre (Vell.) Kuhlm. & Pirajá,4527
5,Apocynaceae,Aspidosperma thomasii Marc.-Ferr.,4536
6,Apocynaceae,Lacmellea bahiensis J.F.Morales,4634
7,Apocynaceae,Lacmellea pauciflora (Kuhlm.) Markgr.,4635
8,Apocynaceae,Rauvolfia atlantica Emygdio,4840
9,Apocynaceae,Rauvolfia capixabae I.Koch & Kin.-Gouv.,4842
10,Apocynaceae,Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.,4846
11,Aquifoliaceae,Ilex cerasifolia Reissek,4885
12,Aquifoliaceae,Ilex euryaeformis Reissek,4890
13,Aquifoliaceae,Ilex floribunda Reissek ex Maxim.,4891
14,Aquifoliaceae,Ilex lundii Warm.,4899
15,Aquifoliaceae,Ilex sapotifolia Reissek,4907
16,Aquifoliaceae,Ilex velutina Reissek,15618
17,Araliaceae,Dendropanax brasiliensis (Seem.) Frodin,5103
18,Araliaceae,Dendropanax denticulatus Fiaschi,5106
19,Araliaceae,Dendropanax nebulosus Fiaschi & Jung-Mend.,5111
20,Araliaceae,Schefflera burchellii (Seem.) Frodin & Fiaschi,15658
21,Araliaceae,Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi,5141
22,Araliaceae,Schefflera selloi (Marchal) Frodin & Fiaschi,5144
23,Asteraceae,Acritopappus prunifolius R.M.King & H.Rob.,15927
24,Asteraceae,Lychnophora rupestris Semir,133793
25,Asteraceae,Lychnophora staavioides Mart.,27256
26,Asteraceae,Piptocarpha axillaris (Less.) Baker,5474
27,Asteraceae,Piptocarpha densifolia Dusén ex G. Lom. Sm.,5476
28,Asteraceae,Piptocarpha organensis Cabrera,5483
29,Boraginaceae,Cordia aberrans I.M.Johnst.,16503
30,Boraginaceae,Cordia anabaptista Cham.,16504
31,Burseraceae,Protium widgrenii Engl.,6602
32,Canellaceae,Cinnamodendron axillare Endl. ex Walp.,6651
33,Celastraceae,Monteverdia ardisiifolia (Reissek) Biral,604477
34,Celastraceae,Monteverdia cestrifolia (Reissek) Biral,604520
35,Celastraceae,Monteverdia glaucescens (Reissek) Biral,604604
36,Celastraceae,Monteverdia littoralis (R.M. Carvalho-Okano) Biral,605287
37,Celastraceae,Monteverdia macrophylla (Mart.) Biral,605270
38,Celastraceae,Monteverdia rigida (Mart.) Biral,604679
39,Chrysobalanaceae,Couepia venosa Prance,34664
40,Chrysobalanaceae,Licania nitida Hook.f.,16846
41,Clusiaceae,Clusia dardanoi G.Mariz & Maguire,6833
42,Combretaceae,Terminalia eichleriana Alwan & Stace,16897
43,Combretaceae,Terminalia mameluco Pickel,6920
44,Combretaceae,Terminalia phaeocarpa Eichler,28350
45,Connaraceae,Connarus detersus Planch.,6950
46,Connaraceae,Connarus nodosus Baker,6952
47,Dichapetalaceae,Stephanopodium blanchetianum Baill.,7327
48,Dichapetalaceae,Tapura lanceolata (Ducke) Rizzini,82237
49,Ebenaceae,Diospyros akaraiensis A.C.Sm.,82303
50,Ebenaceae,Diospyros brasiliensis Mart. ex Miq.,7432
51,Ebenaceae,Diospyros bullata A.C.Sm.,82305
52,Ebenaceae,Diospyros coccolobifolia Mart. ex Miq.,17311
53,Ebenaceae,Diospyros santaremnensis Sandwith,82324
54,Ericaceae,Agarista glaberrima (Sleumer) Judd,25444
55,Ericaceae,Agarista revoluta (Spreng.) J.D. Hook. ex Nied.,7467
56,Ericaceae,Gaylussacia salicifolia Sleumer,7503
57,Erythroxylaceae,Erythroxylum affine A.St.-Hil.,7681
58,Erythroxylaceae,Erythroxylum andrei Plowman,7684
59,Erythroxylaceae,Erythroxylum columbinum Mart.,7691
60,Erythroxylaceae,Erythroxylum frangulifolium A.St.-Hil.,7701
61,Erythroxylaceae,Erythroxylum grandifolium Peyr.,17421
62,Erythroxylaceae,Erythroxylum hamigerum O.E.Schulz,7705
63,Erythroxylaceae,Erythroxylum macrocalyx Mart.,7709
64,Erythroxylaceae,Erythroxylum nobile O.E.Schulz,7719
65,Erythroxylaceae,Erythroxylum ochranthum Mart.,7721
66,Erythroxylaceae,Erythroxylum polygonoides Mart.,17428
67,Erythroxylaceae,Erythroxylum splendidum Plowman,7731
68,Euphorbiaceae,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales",603401
69,Euphorbiaceae,Algernonia brasiliensis Baill.,35658
70,Euphorbiaceae,Algernonia riedelii (Müll.Arg.) G.L.Webster,35667
71,Euphorbiaceae,Croton alchorneicarpus Croizat,35760
72,Euphorbiaceae,Croton hemiargyreus Müll.Arg.,17518
73,Euphorbiaceae,Croton sacaquinha Croizat,35921
74,Euphorbiaceae,Croton vulnerarius Baill.,35971
75,Euphorbiaceae,Gymnanthes gaudichaudii Müll. Arg.,25530
76,Euphorbiaceae,Joannesia heveoides Ducke,36120
77,Euphorbiaceae,Mabea glaziovii Pax & K.Hoffm.,17588
78,Euphorbiaceae,Sapium sellowianum (Müll.Arg.) Huber,17666
79,Euphorbiaceae,Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.,17677
80,Euphorbiaceae,Stillingia loranthacea (Müll. Arg.) Pax,130757
81,Euphorbiaceae,Stillingia oppositifolia Baill. ex Müll.Arg.,36246
82,Euphorbiaceae,Tetrorchidium parvulum Müll. Arg.,25576
83,Fabaceae,Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes,82545
84,Fabaceae,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,17978
85,Fabaceae,Abarema villosa Iganci & M.P.Morim,100917
86,Fabaceae,Acosmium lentiscifolium Schott,29405
87,Fabaceae,Bauhinia bombaciflora Ducke,78513
88,Fabaceae,Bauhinia grandifolia (Bong.) Steud.,82669
89,Fabaceae,Bauhinia longipedicellata Ducke,78523
90,Fabaceae,Bauhinia ovata (Bong.) Vogel,100878
91,Fabaceae,Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby,18297
92,Fabaceae,Chamaecrista blanchetii (Benth.) Conc. et al.,105505
93,Fabaceae,Chamaecrista brachystachya (Benth.) Conc. et al.,105506
94,Fabaceae,Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.,105462
95,Fabaceae,Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.,105507
96,Fabaceae,Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby,18335
97,Fabaceae,Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby,27965
98,Fabaceae,Copaifera sabulicola J.Costa & L.P.Queiroz,115212
99,Fabaceae,Dalbergia acuta Benth.,29591
100,Fabaceae,Dalbergia decipularis Rizzini & A.Mattos,29594
101,Fabaceae,Dalbergia glaucescens (Mart. ex Benth.) Benth.,29601
102,Fabaceae,Erythrina speciosa Andrews,29677
103,Fabaceae,Exostyles venusta Schott,18577
104,Fabaceae,Hymenaea altissima Ducke,78708
105,Fabaceae,Hymenaea aurea Y.T.Lee & Langenh.,83196
106,Fabaceae,"Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima",582263
107,Fabaceae,"Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz",132728
108,Fabaceae,Hymenolobium alagoanum Ducke,79076
109,Fabaceae,Inga congesta T.D.Penn.,18647
110,Fabaceae,Inga schinifolia Benth.,100938
111,Fabaceae,Leptolobium bijugum (Spreng.) Vogel,101101
112,Fabaceae,Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo,101102
113,Fabaceae,"Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",101464
114,Fabaceae,Machaerium incorruptibile (Vell.) Benth.,29769
115,Fabaceae,Machaerium ovalifolium Glaz. ex Rudd,29777
116,Fabaceae,Macrolobium brevense Ducke,78723
117,Fabaceae,Macrolobium latifolium Vogel,18741
118,Fabaceae,Macrolobium rigidum R.S.Cowan,83364
119,Fabaceae,Mimosa adenotricha Benth.,31053
120,Fabaceae,Mimosa dichroa Barneby ex G.P.Lewis,18788
121,Fabaceae,Mimosa laticifera Rizzini & A.Mattos,78913
122,Fabaceae,Mimosa pteridifolia Benth.,78926
123,Fabaceae,Mimosa schomburgkii Benth.,83459
124,Fabaceae,Mimosa sericantha Benth.,18861
125,Fabaceae,Mora paraensis (Ducke) Ducke,83485
126,Fabaceae,Ormosia minor Vogel,101158
127,Fabaceae,Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima,18917
128,Fabaceae,Piptadenia macradenia Benth.,31390
129,Fabaceae,Poecilanthe grandiflora Benth.,18981
130,Fabaceae,Poecilanthe itapuana G.P.Lewis,79139
131,Fabaceae,Pterodon apparicioi Pedersoli,109402
132,Fabaceae,"Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro",133903
133,Fabaceae,Senegalia piauhiensis (Benth.) Seigler & Ebinger,103285
134,Fabaceae,Senna reniformis (G.Don) H.S.Irwin & Barneby,28221
135,Fabaceae,Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima,130131
136,Fabaceae,Swartzia arumateuana (R. S. Cowan) Torke & Mansano,130715
137,Fabaceae,Swartzia corrugata Benth.,83770
138,Fabaceae,Swartzia longistipitata Ducke,78806
139,Fabaceae,Swartzia oblata R.S.Cowan,101174
140,Fabaceae,Swartzia parvipetala (R.S.Cowan) Mansano,102308
141,Fabaceae,Swartzia pilulifera Benth.,29896
142,Fabaceae,Swartzia polita (R.S.Cowan) Torke,101175
143,Fabaceae,Swartzia psilonema Harms,102482
144,Fabaceae,Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima,106816
145,Fabaceae,Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho,106844
146,Gentianaceae,Macrocarpaea glaziovii Gilg,7771
147,Humiriaceae,Humiriastrum mussungense Cuatrec.,7979
148,Humiriaceae,Vantanea bahiaensis Cuatrec.,7986
149,Hypericaceae,Vismia atlantica L. Marinho & M.V. Martins,583085
150,Hypericaceae,Vismia cauliflora A.C.Sm.,84116
151,Hypericaceae,Vismia magnoliifolia Cham. & Schltdl.,8014
152,Hypericaceae,Vismia micrantha A.St.-Hil.,8016
153,Lacistemataceae,Lacistema serrulatum Mart.,8101
154,Lamiaceae,Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore,132588
155,Lamiaceae,Vitex mexiae Moldenke,8369
156,Lamiaceae,Vitex spongiocarpa Ducke,59859
157,Lauraceae,Aniba viridis Mez,123035
158,Lauraceae,Beilschmiedia emarginata (Meisn.) Kosterm.,8387
159,Lauraceae,Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.,8392
160,Lauraceae,Cinnamomum glaziovii (Mez) Kosterm.,8396
161,Lauraceae,Cryptocarya micrantha Meisn.,8407
162,Lauraceae,Cryptocarya riedeliana P.L.R.Moraes,8409
163,Lauraceae,Endlicheria glomerata Mez,8416
164,Lauraceae,Nectandra leucantha Nees,8430
165,Lauraceae,Ocotea arenicola L.C.S. Assis e Mello-Silva,123015
166,Lauraceae,Ocotea argentea Mez,8443
167,Lauraceae,Ocotea insignis Mez,8501
168,Lauraceae,Ocotea kostermanniana Vattimo-Gil,8464
169,Lauraceae,Ocotea microbotrys (Meisn.) Mez,8503
170,Lauraceae,Ocotea montana (Meisn.) Mez,8472
171,Lauraceae,Ocotea oppositifolia S.Yasuda,25619
172,Lauraceae,Ocotea pluridomatiata A.Quinet,8506
173,Lauraceae,Ocotea pulchra Vattimo-Gil,8481
174,Lauraceae,Ocotea teleiandra (Meisn.) Mez,8510
175,Lauraceae,Ocotea tenuiflora (Nees) Mez,8488
176,Lauraceae,Ocotea urbaniana Mez,8490
177,Lauraceae,Ocotea venulosa (Nees) Baitello,122881
178,Lauraceae,Ocotea villosa Kosterm.,8494
179,Lauraceae,Persea alba Nees & Mart.,8512
180,Lauraceae,Persea aurata Miq.,8513
181,Lauraceae,Persea caesia Meisn.,8514
182,Malpighiaceae,Byrsonima myricifolia Griseb.,8840
183,Malpighiaceae,Byrsonima nitidifolia A.Juss.,25707
184,Malpighiaceae,Byrsonima perseifolia Griseb.,8844
185,Malpighiaceae,Heteropterys sincorensis W.R. Anderson,19459
186,Malpighiaceae,Ptilochaeta glabra Nied.,30504
187,Malvaceae,Ceiba crispiflora (Kunth) Ravenna,9033
188,Malvaceae,Ceiba glaziovii (Kuntze) K.Schum.,9035
189,Malvaceae,Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns,9053
190,Malvaceae,Helicteres macropetala A.St.-Hil.,9071
191,Malvaceae,Mollia burchellii Sprague,32934
192,Malvaceae,Pavonia calyculosa A.St.-Hil. & Naudin,9123
193,Malvaceae,Pavonia makoyana E.Morren,9155
194,Malvaceae,Pseudobombax petropolitanum A.Robyns,603542
195,Malvaceae,Pterygota brasiliensis Allemão,9198
196,Malvaceae,Quararibea ochrocalyx (K.Schum.) Vischer,23579
197,Melastomataceae,Behuria insignis Cham.,9405
198,Melastomataceae,Huberia consimilis Baumgratz,9481
199,Melastomataceae,Huberia glazioviana Cogn.,9483
200,Melastomataceae,Lavoisiera nervulosa Naudin,19630
201,Melastomataceae,Leandra cogniauxii (D'El Rei Souza) Reginato,605478
202,Melastomataceae,Leandra fallacissima Markgr.,9537
203,Melastomataceae,Leandra lancifolia Cogn.,9559
204,Melastomataceae,Leandra pennipilis (Triana) Cogn.,9593
205,Melastomataceae,Leandra pilonensis Wurdack,9594
206,Melastomataceae,Leandra umbellata DC.,9635
207,Melastomataceae,Macairea theresiae Cogn.,85320
208,Melastomataceae,Meriania calophylla (Cham.) Triana,9650
209,Melastomataceae,Meriania claussenii (Naudin) Triana,9652
210,Melastomataceae,Meriania paniculata (DC.) Triana,9658
211,Melastomataceae,Merianthera sipolisii (Glaz. & Cogn.) Wurdack,102331
212,Melastomataceae,Miconia brunnea DC.,9676
213,Melastomataceae,Miconia formosa Cogn.,9706
214,Melastomataceae,Miconia goldenbergiana Caddah,604866
215,Melastomataceae,Miconia irwinii Wurdack,19663
216,Melastomataceae,Miconia nordestina R.Goldenb. & E.C.O.Chagas,132538
217,Melastomataceae,Miconia tentaculifera Naudin,9772
218,Melastomataceae,Miconia urophylla DC.,9777
219,Melastomataceae,Mouriri arborea Gardner,9815
220,Melastomataceae,Mouriri cearensis Huber,19704
221,Melastomataceae,Mouriri chamissoana Cogn.,9817
222,Melastomataceae,Pleroma candolleanum (Mart. ex DC.) Triana,602859
223,Melastomataceae,Pleroma fissinervium Schrank et Mart. ex DC.,603029
224,Melastomataceae,Tibouchina barnebyana Wurdack,19719
225,Melastomataceae,Tibouchina canescens (D.Don) Cogn.,9889
226,Melastomataceae,Tibouchina francavillana Cogn.,9914
227,Melastomataceae,Tibouchina regnellii Cogn.,9955
228,Melastomataceae,Trembleya pentagona Naudin,9984
229,Meliaceae,Guarea blanchetii C.DC.,9994
230,Metteniusaceae,Emmotum harleyi R.Duno,103389
231,Monimiaceae,Macropeplus dentatus (Perkins) I.Santos & Peixoto,10064
232,Monimiaceae,Mollinedia longifolia Perkins,10091
233,Moraceae,Ficus holosericea Schott,10166
234,Moraceae,Ficus lagoensis C.C.Berg & Carauta,10144
235,Moraceae,Ficus organensis (Miq.) Miq.,10174
236,Myristicaceae,Virola officinalis Warb.,10200
237,Myrtaceae,Calyptranthes grandiflora O.Berg,10285
238,Myrtaceae,Calyptranthes obovata Kiaersk.,10292
239,Myrtaceae,Calyptranthes rufa O.Berg,19832
240,Myrtaceae,Calyptranthes spruceana O.Berg,36871
241,Myrtaceae,Campomanesia simulans M.L.Kawas.,10332
242,Myrtaceae,Curitiba prismatica (D.Legrand) Salywon & Landrum,10337
243,Myrtaceae,Eugenia acutata Miq.,10339
244,Myrtaceae,Eugenia arenaria Cambess.,10344
245,Myrtaceae,Eugenia bacopari D.Legrand,10348
246,Myrtaceae,Eugenia beaurepairiana (Kiaersk.) D.Legrand,25828
247,Myrtaceae,Eugenia capitulifera O.Berg,10365
248,Myrtaceae,Eugenia capparidifolia DC.,36905
249,Myrtaceae,Eugenia chlorophylla O.Berg,10372
250,Myrtaceae,Eugenia dichroma O.Berg,10383
251,Myrtaceae,Eugenia ellipsoidea Kiaersk.,10390
